type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[75.4516454, 27.2520587]",Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan",
Feature,,,,XX-BECE,XX-BECE,,,
Feature,,,,XX-BSPY,XX-BSPY,,,
Feature,,,,YY-BPLC,YY-BPLC,,,
Feature,Point,"[79.519746, 28.913427000000002]",Uttar Pradesh,KHH,KICHHA,NER,"Kichha, Uttar Pradesh",
Feature,Point,"[74.43499088287354, 29.55519806064484]",Rajasthan,SRKN,Sherekan,NWR,"MDR 89, Rajasthan",
Feature,Point,"[74.75103096105158, 29.238227312503696]",Rajasthan,BKKA,Bhukarka,NWR,"Bhukarka, Rajasthan",
Feature,Point,"[74.77362781763077, 29.192562738768984]",Rajasthan,NHR,Nohar,NWR,"State Highway 36, Rajasthan",
Feature,Point,"[80.231363, 12.975217]",Tamil Nadu,PRGD,Perungudi,SR,"Chennai, Tamil Nadu",
Feature,Point,"[74.7179570607841, 29.345637263205944]",Haryana,KNNA,Khinaniyan,NWR,"State Highway 23, Haryana",
Feature,Point,"[78.216684, 21.838466]",,JKR,JAULKHERA,,,
Feature,Point,"[78.03136099999999, 21.909813]",,BYS,BARSALI,,,
Feature,Point,"[78.936311, 23.838185999999997]",,GW,GIRWAR,,,
Feature,Point,"[79.019912, 23.871771000000003]",,DGD,DANGIDHAR,,,
Feature,Point,"[75.10354600000001, 23.770740999999997]",Madhya Pradesh,DOD,DHODHAR,WR,"Dhodar, Madhya Pradesh",
Feature,Point,"[79.074633, 23.895862]",,GAJ,GANESHGANJ,,,
Feature,Point,"[88.415324, 22.168635]",West Bengal,JNM,Jayanagar Majilpur Halt,ER,"Jaynagar, West Bengal",
Feature,Point,"[74.71699100000001, 26.294459999999997]",Rajasthan,NSD,NASIRABAD,NWR,"Nasirabad, Rajasthan",
Feature,Point,"[79.192899, 23.905726]",,PHA,PATHARIA,,,
Feature,Point,"[78.103238, 18.679164999999998]",Andhra Pradesh,NZB,NIZAMABAD,SCR,"Nizamabad, Andhra Pradesh",
Feature,Point,"[86.01054599999999, 25.387446999999998]",,RJO,RAJENDRA PUL,,,
Feature,Point,"[79.478668, 11.009165]",Tamil Nadu,ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu",
Feature,Point,"[79.388644, 10.952962]",Tamil Nadu,KMU,KUMBAKONAM,SR,"Kumbakonam, Tamil Nadu",
Feature,Point,"[78.45351, 9.681538999999999]",Tamil Nadu,MNM,MANAMADURAI JN,SR,"Sivaganga, Tamil Nadu",
Feature,Point,"[83.381499, 26.759311]",,GKP,GORAKHPUR JN,,,
Feature,,,,BJUP,BJUP,,,
Feature,Point,"[73.16928300000001, 22.184274000000002]",,VRM,VARNAMA,,,
Feature,Point,"[83.416821, 26.750649]",,GKC,GORAKHPUR CANT,,,
Feature,Point,"[73.156746, 22.149889]",,ITA,ITOLA,,,
Feature,,,,CIKA,CIKA,,,
Feature,,,,XX-CPHO,XX-CPHO,,,
Feature,Point,"[77.273006, 29.09692]",Uttar Pradesh,BTU,BARAUT,NR,"Baraut, Uttar Pradesh",
Feature,Point,"[75.16846699999999, 30.817296]",Punjab,MOGA,Moga,NR,"Moga, Punjab",
Feature,Point,"[70.503394, 23.309819]",,SIOB,SAMAKHIALI JN,,,
Feature,,,,LLHW,LLHW,,,
Feature,Point,"[75.087121, 27.713786000000002]",Rajasthan,RDK,Rasheedpura Khori,NWR,"MDR 87, Rajasthan",
Feature,Point,"[80.612645, 16.414205000000003]",,PVD,PEDDAVADIAPUDI,,,
Feature,Point,"[82.85262, 17.553652000000003]",,YLM,ELLAMANCHILI,,,
Feature,Point,"[77.655113, 10.476970999999999]",,CHPT,Chatrappatti,,,
Feature,Point,"[81.540406, 27.120389]",,JLD,JARWAL ROAD,,,
Feature,Point,"[83.923653, 21.822718000000002]",,BRJN,BRAJRAJNAGAR,,,
Feature,Point,"[81.69417800000001, 27.137698]",,CLJ,COLONELGANJ,,,
Feature,Point,"[81.8556626477, 27.1465555756]",,KTHL,KATHOLA,,,
Feature,Point,"[82.903373, 26.776435]",,MND,MUNDERWA,,,
Feature,Point,"[74.4806877, 19.780792299999998]",Maharashtra,SNSI,SAINAGAR SHIRDI,CR,"Near New Bus Stand Shirdi Sainagar, Maharashtra",
Feature,Point,"[71.738273, 21.822549000000002]",Gujarat,DLJ,DHOLA JN,WR,"Dhola, Gujarat",
Feature,Point,"[75.7655019775, 31.217555749800002]",,PGW,PHAGWARA JN,,,
Feature,,,,YY-BINP,YY-BINP,,,
Feature,Point,"[75.521553, 28.777449]",Rajasthan,JUP,Jhunpa,?,"NH 65, Rajasthan",
Feature,,,,XX-JSGB,XX-JSGB,,,
Feature,Point,"[84.017427, 21.862274]",,JSG,JHARSUGUDA JN,,,
Feature,Point,"[84.20715351199999, 26.2311244405]",,KYW,KARCHHUE,,,
Feature,Point,"[84.509909, 26.000739]",,MHRN,MAHENDRANATH,,,
Feature,Point,"[84.688889, 25.807401000000002]",,TKVR,TAPPA KHAJURIAY,,,
Feature,Point,"[78.42225009, 12.18134581]",,DPI,DODDAMPATTI,,,
Feature,,,,SREE,SREE,,,
Feature,Point,"[71.892665, 26.950232]",Rajasthan,AQG,ASHAPURA GOMAT,NWR,"National Highway 15, Rajasthan",
Feature,Point,"[78.09669699999999, 11.612765]",,NEA,NEYKKARAPATTI,,,
Feature,Point,"[85.318477, 25.931048999999998]",,GRL,GORAUL,,,
Feature,,,,DKJC,DKJC,,,
Feature,Point,"[85.339288, 25.979631]",,KHI,KURHANI,,,
Feature,Point,"[77.26580200000001, 11.117790999999999]",,VNJ,TIRUPPUR VANJIPALAYAM,,,
Feature,Point,"[76.954304, 11.019937]",,CBF,COIMBATORE NORTH,,,
Feature,Point,"[76.826966, 30.338918]",,UMB,AMBALA CANT JN,,,
Feature,Point,"[81.31786, 25.650642]",,SRO,SIRATHU,,,
Feature,Point,"[81.401934, 25.605607000000003]",,SJT,SHUJAATPUR,,,
Feature,Point,"[81.44201699999999, 25.585017]",,BDNP,BIDANPUR,,,
Feature,Point,"[77.04829951629999, 24.6093382288]",Rajasthan,MTPC,MOTIPURA CHAUKI,WCR,"Motipura, Rajasthan",
Feature,Point,"[85.987826, 25.367027]",,HTZ,HATHIDAH JN,,,
Feature,,,,TSKG,TINSUKIA GOODS,,,
Feature,Point,"[90.76188, 26.001459]",Assam,DDNI,DUDHNOI,NFR,"Dudhnoi Railway Station, Assam",
Feature,Point,"[77.350991, 28.067751]",,RDE,RUNDHI,,,
Feature,Point,"[80.89123400000001, 27.081066999999997]",Uttar Pradesh,IJ,ITAUNJA,NER,"Itaunja, Uttar Pradesh",
Feature,Point,"[70.866078, 25.722252]",Rajasthan,RMX,Ramsar,NWR,"Barmer, Rajasthan",
Feature,Point,"[79.813946, 28.614977999999997]",Uttar Pradesh,PBE,PILIBHIT JN,NER,"Pilibhit, Uttar Pradesh",
Feature,Point,"[75.64547982849999, 28.5301320576]",Rajasthan,RMB,Rampura Beri,NWR,"Rampura Bhal, Rajasthan",
Feature,Point,"[83.11925000000001, 25.278149]",,MGS,MUGHAL SARAI JN,,,
Feature,Point,"[74.993046, 28.169397]",Rajasthan,RSWT,Ramgarh Shekhawati,NWR,"Ramgarh, Rajasthan",
Feature,Point,"[78.27473099999999, 29.035800000000002]",,BKNA,BAKAINA HALT,,,
Feature,Point,"[77.715594, 22.75274]",,HBD,HOSHANGABAD,,,
Feature,Point,"[79.319493, 23.860522]",,ANA,ASLANA,,,
Feature,Point,"[77.6812826, 22.7871143]",,BNI,BUDNI,,,
Feature,,,,YY-IDHW,YY-IDHW,,,
Feature,Point,"[94.85656900000001, 27.325566]",Assam,DMGN,DHAMALGAON,NFR,"A T Rd, Assam",
Feature,Point,"[78.463527, 17.404048000000003]",Andhra Pradesh,LKPL,LAKDIKAPUL,SCR,"Hyderabad, Andhra Pradesh",
Feature,Point,"[76.814085, 22.052142]",Madhya Pradesh,BRUD,BARUD,WCR,"Khandwa, Madhya Pradesh",
Feature,Point,"[73.83729, 19.897509]",,DVL,DEVLALI,,,
Feature,Point,"[79.76127199999999, 22.253004999999998]",,JRTR,Jurtara,,,
Feature,Point,"[81.250615, 24.537122]",Madhya Pradesh,REWA,REWA,WCR,"Rewa, Madhya Pradesh",
Feature,Point,"[72.433842, 22.731982]",Gujarat,DOK,DHOLKA,WR,"Bagodara Dholka, Gujarat",
Feature,Point,"[73.0952734283, 22.418331636999998]",,NDR,NANDESARI,,,
Feature,Point,"[73.120353, 22.050722]",,MYG,MIYAGAM KARJAN,,,
Feature,Point,"[79.849079, 25.306914]",Uttar Pradesh,MBA,MAHOBA,NCR,"Junction Point - Khajuraho, Uttar Pradesh",
Feature,Point,"[80.198945, 22.418426]",Madhya Pradesh,JGZ,Jamgaon,SECR,"Bamhani, Madhya Pradesh",
Feature,Point,"[84.46243313289999, 24.8399006513]",,BHKH,BAGHOI KUSA,,,
Feature,Point,"[77.31077099999999, 28.746571]",Uttar Pradesh,NOLI,NOLI,NR,"Ghaziabad, Uttar Pradesh",
Feature,Point,"[77.26134099999999, 29.012729]",Uttar Pradesh,SUJR,SUJRA,NR,"State Highway 57, Uttar Pradesh",
Feature,Point,"[72.86546467803419, 21.990791167399735]",Gujarat,AMOD,Amod,WR,"Amod, Gujarat",
Feature,Point,"[73.09899399999999, 21.991872]",,LKD,LAKODARA,,,
Feature,Point,"[73.23136643506587, 21.439673931772646]",Gujarat,VKL,Vankal,WR,"SH 166, Gujarat",
Feature,Point,"[72.833211, 18.97695]",Maharashtra,BY,BYCULLA,CR,"Mumbai, Maharashtra",
Feature,Point,"[85.30109021000001, 25.858316719999998]",,BNR,BHAGWANPUR,,,
Feature,Point,"[76.21354088187218, 14.826788325296278]",Tamil Nadu,KTY,Kotturu,SWR,"Kothur Rd, Tamil Nadu",
Feature,Point,"[94.143709, 26.685532]",Assam,BLMR,Bhalukmara,NFR,"Bhalukmara, Assam",
Feature,Point,"[77.31896504759789, 21.163199753077336]",Maharashtra,ANJ,Anjangaon,CR,"Anjangaon, Maharashtra",
Feature,Point,"[88.306807, 23.685277]",West Bengal,DEB,Debagram,ER,"Debagram, West Bengal",
Feature,Point,"[77.51926277764142, 21.27760302246017]",Maharashtra,ELP,Achalpur,CR,"Dist. Amravati, Maharashtra",
Feature,Point,"[88.384597, 23.610275]",West Bengal,BTY,Bethuadahari,ER,"Bethuadahari, West Bengal",
Feature,Point,"[78.65141943097115, 20.74690547756532]",Maharashtra,WARUD,Warud,CR,"Wardha, Maharashtra",
Feature,,,,BVAC,BVAC,,,
Feature,,,,BVBC,BVBC,,,
Feature,Point,"[79.84618068672717, 10.686877168293023]",Tamil Nadu,VLKN,Velankanni,?,"Velankanni, Tamil Nadu",
Feature,Point,"[81.112395, 16.484823]",Andhra Pradesh,PCU,PUTLACHERUVU,SCR,"Putlacheruvu, Andhra Pradesh",
Feature,Point,"[85.3090478906, 25.892949366]",,BNPT,BENNIPATTI PIRAPUR,,,
Feature,Point,"[76.573236, 20.813007000000002]",,JM,JALAMB JN,,,
Feature,Point,"[82.79406, 18.346936]",Andhra Pradesh,GPJ,Gorapur,ECoR,"Jeypore Rd, Andhra Pradesh",
Feature,Point,"[80.16618146561086, 13.114499981582952]",,ABEO,Pattaravakkam,SR,,
Feature,Point,"[76.690331, 20.801724]",,SEG,SHEGAON,,,
Feature,Point,"[80.1163395764, 22.2718946035]",Madhya Pradesh,GDU,Gudru Halt,SECR,"Lamta, Madhya Pradesh",
Feature,Point,"[87.95045644976199, 23.458049719226736]",West Bengal,BGNA,Balgona,ER,"Balgona, West Bengal",
Feature,Point,"[88.573216, 23.206506]",West Bengal,KLNP,Kalinarayanpur,ER,"Ranaghat-Bagula Bypass, West Bengal",
Feature,Point,"[76.755353, 20.761640999999997]",,NGZ,S K NAGJIHARI,,,
Feature,Point,"[76.815865, 20.724519]",,PS,PARAS,,,
Feature,Point,"[88.08753041, 22.15295838]",West Bengal,BRDB,Barda,SER,"Sutahata, West Bengal",
Feature,Point,"[76.890093, 20.720684]",,GAO,GAIGAON,,,
Feature,Point,"[79.468096, 21.261121]",,RRL,REWRAL,,,
Feature,Point,"[79.550792, 21.242242]",,KHAT,KHAT,,,
Feature,Point,"[79.64752299999999, 21.238512]",,BRD,BHANDARA ROAD,,,
Feature,Point,"[79.71240900000001, 21.263021]",,KOKA,KOKA,,,
Feature,Point,"[83.678086, 21.857535000000002]",,DAO,DAGHORA,,,
Feature,Point,"[83.742815, 21.876503999999997]",,HGR,HEMAGIRI,,,
Feature,Point,"[80.108853, 22.425676]",Madhya Pradesh,NIR,Nainpur Junction,SECR,"Nainpur, Madhya Pradesh",
Feature,Point,"[94.3939129431, 26.7081333353]",Assam,NCH,NAKACHARI,NFR,"Mariani, Assam",
Feature,Point,"[89.534048, 26.523279]",West Bengal,APDJ,ALIPUR DUAR JN,NFR,"03564-255091, West Bengal",
Feature,Point,"[81.4918665, 25.5591917]",,BRE,BHARWARI,,,
Feature,Point,"[88.05297200000001, 25.626133]",West Bengal,JTK,Jhitkia,NFR,"National Highway 34, West Bengal",
Feature,Point,"[81.55907499999999, 25.524992]",,MNJ,MANOHARGANJ,,,
Feature,Point,"[81.613788, 25.494982]",,SYWN,SAIYID SARAWAN,,,
Feature,Point,"[81.662491, 25.470171]",,MRE,MANAURI,,,
Feature,Point,"[81.741641, 25.44494]",,BMU,BAMHRAULI,,,
Feature,Point,"[81.789897, 25.439879]",,SFG,SUBEDARGANJ,,,
Feature,Point,"[80.627521, 16.295185999999998]",,KLX,KOLAKALUR,,,
Feature,Point,"[80.61690800000001, 16.379558]",,CLVR,CHILUVUR,,,
Feature,Point,"[81.726495, 17.007084]",,KVR,KOVVUR,,,
Feature,Point,"[81.77083, 17.007707]",,GVN,GODAVARI,,,
Feature,Point,"[76.75531600000001, 10.800919]",,KJKD,KANJIKODE,,,
Feature,Point,"[86.616164, 23.52693]",West Bengal,SNKR,Sanka,SER,"Garh Dhrubeswar, West Bengal",
Feature,Point,"[79.902424, 22.72003]",Madhya Pradesh,VNK,Binaiki,SECR,"Binaiki Railway Station, Madhya Pradesh",
Feature,Point,"[88.45836999999999, 22.277738]",West Bengal,GCN,Gocharan,ER,"Gocharan, West Bengal",
Feature,Point,"[79.545769, 22.075431]",Madhya Pradesh,SEY,Seoni,SECR,"Seoni, Madhya Pradesh",
Feature,Point,"[86.44032, 23.654478]",West Bengal,SDMD,Sudamdih,SER,"Jairampur More to Baliapur, West Bengal",
Feature,,,,PCLS,PCLS,,,
Feature,Point,"[85.988748, 25.461768000000003]",,BJU,BARAUNI JN,,,
Feature,Point,"[79.432246, 23.836693]",,DMO,DAMOH,,,
Feature,Point,"[73.0346944543, 22.486628078200003]",,ADD,ADAS ROAD,,,
Feature,Point,"[71.16224249999999, 21.4155588]",Gujarat,CLC,Chalala,WR,"Chalala, Gujarat",
Feature,Point,"[73.1122662115, 22.405252095399998]",,RNO,RANOLI,,,
Feature,Point,"[74.024928, 26.012397]",Rajasthan,HP,HARIPUR,NWR,"Pali, Rajasthan",
Feature,Point,"[92.0348331158, 24.1506303119]",Tripura,KUGT,Kumarghat,NFR,"Kumarghat, Tripura",
Feature,Point,"[75.31064599999999, 19.859276]",Maharashtra,AWB,AURANGABAD,SCR,"Aurangabad, Maharashtra",
Feature,Point,"[77.21298975, 15.16697376]",Andhra Pradesh,BNL,BEVINAHALU,SCR,"Rayalaseema Region, Andhra Pradesh",
Feature,,,,VMC,VMC,,,
Feature,Point,"[70.408254, 20.896131999999998]",Gujarat,SMNH,SOMNATH,WR,"Somnath, Gujarat",
Feature,Point,"[79.766287, 11.715119]",Tamil Nadu,CUPJ,CUDDALORE PORT,SR,"Cuddalore Township, Tamil Nadu",
Feature,Point,"[73.072387, 21.921578]",,PLJ,PALEJ,,,
Feature,Point,"[72.00004, 25.891938]",Rajasthan,GOLE,GOLE,NWR,"National Highway 112, Rajasthan",
Feature,,,,BDX,BDX,,,
Feature,Point,"[79.91803499999999, 21.415039]",,TRO,TIRORA,,,
Feature,Point,"[83.564842, 21.874971000000002]",,JMG,JAMGA,,,
Feature,,,,JMSY,JMSY,,,
Feature,Point,"[83.824844, 26.468381]",,AHLR,AHALYAPUR,,,
Feature,Point,"[80.640413, 16.242409000000002]",,TEL,TENALI JN,,,
Feature,Point,"[78.37926300000001, 13.707414]",Andhra Pradesh,TAT,Tummanamgutta,SCR,"Chennai - Anantpur Rd, Andhra Pradesh",
Feature,Point,"[81.690558, 16.965076999999997]",,CU,CHAGALLU,,,
Feature,Point,"[81.700939, 16.99331]",,PSDA,PASIVEDALA,,,
Feature,Point,"[72.59376099999999, 25.208689]",Rajasthan,MBGA,Marwar Bagra,NWR,"SH 31, Rajasthan",
Feature,Point,"[72.336284, 25.827638]",Rajasthan,JNE,JANIYANA,NWR,"State Highway 68, Rajasthan",
Feature,Point,"[72.57300699999999, 25.837202]",Rajasthan,SMR,SAMDHARI JN,NWR,"Barmer, Rajasthan",
Feature,Point,"[72.951414, 25.970783]",Rajasthan,SUT,SUTLANA,NWR,"Dundara, Rajasthan",
Feature,Point,"[69.615506, 21.643597999999997]",Gujarat,PBR,PORBANDAR,WR,"Porbandar, Gujarat",
Feature,Point,"[76.2025684888, 14.137920273699999]",Karnataka,CKVD,Chikkandawadi,SWR,"Chikkandawadi, Karnataka",
Feature,Point,"[75.712919, 27.105646]",Rajasthan,BHG,Bhaton Ki Gali,NWR,"Chomun, Rajasthan",
Feature,Point,"[74.33120188303292, 29.574220545495677]",Rajasthan,HMO,Hanumangarh Town,NWR,"Hanumangarh, Rajasthan",
Feature,Point,"[83.494054, 26.700858999999998]",,SANR,SARDARNAGAR,,,
Feature,Point,"[86.3146452, 24.182255899999998]",Jharkhand,GRD,Giridih,ER,"Giridih, Jharkhand",
Feature,Point,"[83.545894, 26.673882]",,CC,CHAURI CHAURA,,,
Feature,Point,"[79.5158922174, 18.023547297]",,KMPT,KOMATIPALLI,,,
Feature,Point,"[79.50184999999999, 18.078262]",,HSP,HASANPARTHI RD,,,
Feature,Point,"[70.734877, 25.741083]",Rajasthan,GGY,Gagariya,NWR,"State Highway 40, Rajasthan",
Feature,Point,"[83.969786, 26.353209]",,NNPR,NONAPAR,,,
Feature,Point,"[84.151979, 26.240309]",,MW,MAIRWA,,,
Feature,Point,"[77.3893135876, 11.1440279246]",,KUY,TIRUPPUR KULIPALAYAM,,,
Feature,Point,"[76.559421, 10.800415]",,PLL,PARLI,,,
Feature,Point,"[91.278481, 23.792417]",Tripura,AGTL,Agartala,NFR,"Agartala, Tripura",
Feature,Point,"[76.500232, 10.771526]",,MNY,MANKARAI,,,
Feature,Point,"[76.434467, 10.753217]",,LDY,LAKKITI,,,
Feature,Point,"[76.398385813, 10.7525187905]",,PLPM,PALAPPURAM,,,
Feature,Point,"[76.377993, 10.770046]",,OTP,OTTAPPALAM,,,
Feature,Point,"[76.323555, 10.749322]",,MNUR,MANNANUR,,,
Feature,Point,"[84.256142, 26.220819]",,ZRDE,JIRADEI,,,
Feature,Point,"[84.359267, 26.210724000000003]",,SV,SIWAN JN,,,
Feature,Point,"[84.415667, 26.162627999999998]",,PCK,PACHRUKHI,,,
Feature,Point,"[84.45894600000001, 26.086973]",,DDA,DURAUNDHA JN,,,
Feature,Point,"[84.49649600000001, 26.022117]",,CW,CHAINWA,,,
Feature,Point,"[71.923129, 26.930571]",Rajasthan,POK,POKRAN,NWR,"National Highway 15, Rajasthan",
Feature,Point,"[71.718687, 26.972848]",Rajasthan,OCH,ODHANIYA CHACHA,NWR,"National Highway 15, Rajasthan",
Feature,Point,"[84.53637, 25.967099]",,EKMA,EKMA,,,
Feature,Point,"[84.591425, 25.90709]",,DDP,DAUDPUR,,,
Feature,Point,"[84.65281399999999, 25.851866]",,KPS,KOPA SAMHOTA,,,
Feature,Point,"[85.29179, 25.817069]",,BTHL,BITHAULI,,,
Feature,Point,"[83.667801, 26.594934000000002]",,GB,GAURI BAZAR,,,
Feature,Point,"[83.7385572, 26.5526634]",,BALR,BAITALPUR,,,
Feature,Point,"[83.7819590961, 26.5076811676]",,DEOS,DEORIA SADAR,,,
Feature,Point,"[83.880179, 26.425483]",,NRA,NUNKHAR,,,
Feature,Point,"[89.786242, 26.225947]",,AGMN,Agomoni,,,
Feature,Point,"[72.93723505, 19.14200998]",,BND,BHANDUP,,,
Feature,Point,"[74.858025, 31.631511999999997]",,ASR,AMRITSAR JN,,,
Feature,Point,"[76.271415, 10.705843]",,MUC,MULLURKARA,,,
Feature,Point,"[76.237041, 10.648956]",,WKI,WADAKANCHERI,,,
Feature,Point,"[73.90724800000001, 29.324152]",Rajasthan,SOG,SURATGARH JN,NWR,"National Highway 15, Rajasthan",
Feature,Point,"[80.094149, 21.079845]",Maharashtra,SNV,Sondad,SECR,"National Highway 6, Maharashtra",
Feature,Point,"[75.000562, 28.125576]",Rajasthan,QMRS,Kayamsar,NWR,"State Highway 41, Rajasthan",
Feature,Point,"[75.758306, 16.878268000000002]",Karnataka,AYB,Aliyabad,SWR,"Bijapur, Karnataka",
Feature,Point,"[70.276543, 25.742614]",Rajasthan,MBF,Munabao,NWR,"Barmer, Rajasthan",
Feature,Point,"[85.827112, 21.243022]",Orissa,CLDR,Chilikidara,ECoR,"Orissa, Orissa",
Feature,Point,"[72.95507400000001, 27.835319]",Rajasthan,KLYT,Kolayat,NWR,"Kolayat, Rajasthan",
Feature,Point,"[88.798213, 26.882215]",West Bengal,CLD,CHALSA JN,NFR,"Chalsa, West Bengal",
Feature,Point,"[88.9704, 26.880279]",West Bengal,CRX,CARRON,NFR,"National Highway 31C, West Bengal",
Feature,Point,"[77.774856, 22.61521]",,ETF,ITARSI F CABIN,,,
Feature,Point,"[86.953082, 24.404224]",Jharkhand,CNPI,Chandanpahari,ER,"Chandanpahari, Jharkhand",
Feature,Point,"[77.647526, 22.828141000000002]",,MIG,MIDGHAT,,,
Feature,Point,"[79.575956, 23.848205999999998]",,BNU,BANDAKPUR,,,
Feature,Point,"[75.599508, 27.293803]",Rajasthan,COD,Chhota Gudha,NWR,"Ringas, Rajasthan",
Feature,Point,"[77.638968, 22.864326000000002]",,CHQ,CHOKA,,,
Feature,Point,"[78.765801, 28.831621000000002]",,MB,MORADABAD,,,
Feature,Point,"[76.85285999999999, 29.291379]",Haryana,IRA,ISRANA,NR,"Israna, Haryana",
Feature,Point,"[73.132981, 22.380046]",,KRCA,KARACHIYA YARD,,,
Feature,Point,"[73.1431251, 22.3662226]",,BJW,BAJVA,,,
Feature,Point,"[79.718347, 11.332713]",Tamil Nadu,CLN,KOLLIDAM,SR,"Vallampadugai, Tamil Nadu",
Feature,,,,OSHI,OSHI,,,
Feature,Point,"[74.629979, 24.939557999999998]",Rajasthan,CNA,CHANDERIYA,WR,"Chittorgarh, Rajasthan",
Feature,Point,"[79.74565299999999, 25.307555999999998]",Uttar Pradesh,CRC,CHARKHARI ROAD,NCR,"Charkhari, Uttar Pradesh",
Feature,Point,"[83.934035, 26.381257]",,BTT,BHATNI JN,,,
Feature,Point,"[88.266903, 24.122264]",West Bengal,CSZ,Cossimbazar,ER,"Berhampore, West Bengal",
Feature,Point,"[73.048979, 21.85838]",,VRE,VAREDIYA,,,
Feature,Point,"[73.030592, 21.807541]",,NIU,NABIPUR,,,
Feature,,,,KTTY,KTTY,,,
Feature,Point,"[73.010489, 21.753134000000003]",,CVJ,CHAVAJ,,,
Feature,Point,"[73.000633, 21.623889]",,AKV,ANKLESHWAR JN,,,
Feature,Point,"[92.71665800000001, 24.984962]",Assam,CNE,CHANDRANATHPUR,NFR,"National Highway 54, Assam",
Feature,Point,"[72.978371, 21.535197]",,PAO,PANOLI,,,
Feature,Point,"[73.86881457700001, 25.946542716]",Rajasthan,CNL,CHANDAWAL,NWR,"Pali, Rajasthan",
Feature,Point,"[73.7180903, 25.82438]",Rajasthan,BFY,BHESANA,NWR,"Marwar, Rajasthan",
Feature,Point,"[72.969512, 21.501091000000002]",,HAT,HATHURAN,,,
Feature,Point,"[78.257278, 12.97518]",Karnataka,COL,Coromandel,SWR,"KGF, Karnataka",
Feature,Point,"[72.91647999999999, 21.37682]",,KDSD,KUDSAD,,,
Feature,Point,"[72.890287, 21.317203]",,SYN,SAYAN,,,
Feature,Point,"[79.290097, 28.213407]",Uttar Pradesh,MQP,Makrandpur,NER,"Aonla- Bareilly Link Rd, Uttar Pradesh",
Feature,Point,"[72.880104, 21.294043]",,GTX,GOTHANGAM,,,
Feature,Point,"[76.207809, 10.596938999999999]",,MGK,MULANGUNNATHUKAVU,,,
Feature,Point,"[77.172004, 28.591905]",Delhi NCT,CNKP,CHANAKYAPURI,NR,"Chanakyapuri, Delhi NCT",
Feature,Point,"[72.85479600000001, 21.232602]",,URN,UTRAN,,,
Feature,Point,"[72.840793, 21.206568]",,ST,SURAT,,,
Feature,Point,"[72.851461, 21.171156]",,UDN,UDHNA JN,,,
Feature,Point,"[80.605456, 16.188934]",,VRU,VALIVERU,,,
Feature,Point,"[81.63387399999999, 16.843925]",,MRPL,MARAMPALLI,,,
Feature,Point,"[81.67550399999999, 16.898297]",,NDD,NIDADAVOLU JN,,,
Feature,Point,"[80.287678, 21.416128]",,GDM,GUDMA,,,
Feature,Point,"[83.25998102000001, 21.975035039999998]",,BEF,BHUPDEOPUR,,,
Feature,Point,"[83.39067, 21.891288999999997]",,RIG,RAIGARH,,,
Feature,Point,"[83.482238, 21.883182]",,KRL,KOTARLIA,,,
Feature,Point,"[78.775924, 10.160613]",Tamil Nadu,CTND,Chettinad,SR,"Kanadukathan, Tamil Nadu",
Feature,Point,"[78.25287, 28.919358]",Uttar Pradesh,SEPR,SHERPUR,NR,"State Highway 51, Uttar Pradesh",
Feature,Point,"[72.914294, 20.946851]",Gujarat,NVS,NAVSARI,WR,"Navsari, Gujarat",
Feature,Point,"[74.268446, 30.60775]",Punjab,JBD,Jalalabad,NR,"Jalalabad, Punjab",
Feature,Point,"[88.67133299999999, 26.859243000000003]",West Bengal,DDM,DAM DIM,NFR,"National Highway 31, West Bengal",
Feature,Point,"[70.655356, 23.417869]",Gujarat,COE,CHITROD,WR,"Kutch, Gujarat",
Feature,Point,"[75.70272, 27.158223]",Rajasthan,COM,Chomun Samod,NWR,"Chomun, Rajasthan",
Feature,Point,"[76.78753499999999, 30.395686]",Haryana,DKT,DHULKOT,NR,"Ambala City, Haryana",
Feature,Point,"[81.21464405030001, 25.7036520692]",,KUW,KANWAR,,,
Feature,Point,"[83.267724, 25.261093]",,CDMR,CHANDAULI MJHWR,,,
Feature,,,,IGPX,IGPX,,,
Feature,Point,"[81.102658, 25.761853]",,KGA,KHAGA,,,
Feature,Point,"[81.16560600000001, 25.730035]",,KTCE,KATOGHAN,,,
Feature,Point,"[81.2620300824, 25.678728805000002]",,ASCE,ATHSARAI,,,
Feature,Point,"[77.706014, 12.907633]",Karnataka,CRLM,Carmelaram,SWR,"Bengaluru, Karnataka",
Feature,Point,"[74.047794, 15.264834]",Goa,CNR,CHANDAR,SWR,"CHANRA (chandor), Goa",
Feature,Point,"[83.07686199999999, 18.262764]",Andhra Pradesh,CMDP,Chimidipalli,ECoR,"Borra, Andhra Pradesh",
Feature,Point,"[82.5020212, 25.160771699999998]",,BDL,VINDHYACHAL,,,
Feature,Point,"[79.58628900000001, 28.136577]",,TSA,TISUA,,,
Feature,Point,"[73.221682, 22.797769]",Gujarat,TAS,Thasra,WR,"National Highway 59, Gujarat",
Feature,Point,"[81.5033135022, 27.1026834977]",,GHT,GHAGHARA GHAT,,,
Feature,Point,"[82.500127, 26.938525000000002]",,BV,BABHNAN,,,
